"Name of district and 
wholesale market","","State 
of 
regu-
lation","Godown 
facilities","Cold 
storage 
facility","Nearest 
Railway 
Station","Dis-
tance    
(km)","Commodities 
arriving in the 
market","Tel. 
 No.","Commer-
cial 
 grading 
facility","Complete postal address"
"5.","LUNGLEI       
(3)","","","","","","","","",""
"","1.","2.","3.","4","5.","6.","7.","8.","9.","10."
"1.","Hnahthial","NRM","-","-","Bairabi","289","Spices, Vegetables, 
Fruits, Meat","-","-","Hnahthial Market Bazar 
Veng, Lunglei."
"2.","Super Market","- do -","PSG","-","- do -","352","- do -","0372-
22992 
(Super 
Market)","-","Super Market Electric Veng., 
Lunglei, PIN – 796 701"
"3.","Tlabung","- do -","-","-","- do -","499","Vegetables, Fruit, 
Fish","-","-","Tlabung Bazar, Tlabung, 
Lunglei, PIN-796751"
"6.","MAMIT         
(1)","","","","","","","","",""
"1.","Kanhamun","NRM 
- 
- 
Dharman-
46 
Vegetable, Cattle, 
- 
- 
Kanhmun Bazar, Bazar Veng, 
agar 
Spices, Fruits, 
Kanhmun, Mamit,            
(Tripura) 
Meat 
PIN – 796 471.","","","","","","","",""
"7.","SAIHA         
(1)","","","","","","","","",""
"1.","Saiha Market","NRM","-","-","Bairabi","495","Vegetables, Fruits, 
Foodgrain","-","-","Saiha Bazar, Bazar Veng, 
Saiha."
"8.","SERCHHIP      
(1)","","","","","","","","",""
"1.","Serchhip Market","NRM","-","-","Bairabi","299","Vegetables, Fruits, 
Spices, Meat","-","-","Serchhip Bazar, Bazar Veng, 
Serchhip, Serchhip."
